Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Pleuronectidae,Platichthys,flesus,European flounder,494,60,1700,,29.06,,,,,,,round,,,,
Pleuronectidae,Pleuronectes,platessa,European plaice,572,100,11100,,5.15,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,summer flounder,569,94,7700,,7.39,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,summer flounder,569,94,7700,,7.39,,,,,,,round,,,,
Gadidae,Gadus,morhua,Atlantic cod,124,200,74300,,0.17,,,,,,,round,,,,
Gadidae,Gadus,morhua,Atlantic cod,158,200,74300,,0.21,,,,,,,round,,,,
Gadidae,Gadus,morhua,Atlantic cod,167,200,74300,,0.22,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Gobiidae,Gobius,cobitis,Giant goby,124.5,14.1,43.47,35.43810582,286.40,,0.01023,3.08,https://www.fishbase.se/popdyn/FishLWSummary.php?ID=4579&id2=6462&genusname=Gobius&speciesname=cobitis&fc=405&variable_Length=10&gm_a=0.011227721649931&gm_b=3.0786729158511,,,round,,,,
Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,805,100,3600,,22.36,,,,,,,round,,,,
Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,805,100,3600,,22.36,,,,,,,round,,,,
Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,805,100,3600,,22.36,,,,,,,round,,,,
Batrachoididae,Porichthys,notatus,Plainfin midshipman,171,38,520.82,,32.83,,,,,,,round,,,,
Acipenseridae,Acipenser,transmontanus,White sturgeon,0.2,610,1500000,,0.00,,,,,,,cresent,,,,
Acipenseridae,Acipenser,transmontanus,White sturgeon,1.9,610,1500000,,0.00,,,,,,,cresent,,,,
Acipenseridae,Acipenser,transmontanus,White sturgeon,63.1,610,1500000,,0.00,,,,,,,cresent,,,,
Cottidae,Cottus,asper,Prickly sculpin,11.4,30,796.32,,1.43,Cottus dzungaricus,,,,,,round,Cottus gobio,0.0066,3.304,501.1324909
Cottidae,Cottus,asper,Prickly sculpin,12.6,30,796.32,,1.58,Cottus dzungaricus,,,,,,round,,,,
Cottidae,Cottus,asper,Prickly sculpin,11.2,30,796.32,,1.41,Cottus dzungaricus,,,,,,round,,,,
Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,30,46,2000,,1.50,,,,,,,round,,,,
Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,42,46,2000,,2.10,,,,,,,round,,,,
Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,32.5,46,2000,,1.63,,,,,,,round,,,,
Anguillidae,Anguilla,anguilla,European eel ,496,122,3700,,13.41,,,,,,,round,,,,
Clariidae,Clarias,batrachus,Walking catfish,110,47,915.85,,12.01,,,,,,,round,,,,
Acipenseridae,Acipenser,naccarii,Adriatic sturgeon,568,200,51800,,1.10,Acipenser fulvescens ,,,,,,cresent,Accipenser sturio,0.0041,3.04,40542.92178
Acipenseridae,Acipenser,naccarii,Adriatic sturgeon,565,200,51800,,1.09,Acipenser fulvescens ,,,,,,cresent,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.0000,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00571,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
