"","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","MR.micro.mol.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data","Conversion.factor.to.micro.mol.kg.h"
"1","Pleuronectidae","Platichthys","flesus","European flounder","Bay of Aarhus, Denmark","56.1262871,10.3319726",56.1262871,"10.3319726","Yes","7",10,"20","mmHg","140",NA,"None","-","-","-","-","-",7,494,"0.068","-","-","-",60,1700,29.06,"-","-","-","-","-","-","Adult","-","-","unknown","-","N2 PO2 Regulator","1.23","60","35","mmHg",20,10,"-","-","Yes","Oxyregulator","RMR","0.518","-","-","mlO2 / kg / min",685.43,"-","91","60","-","-","mmHg","-",10.06,"-","-","-","","-","-","-","None","","Pcrit was not based on measurement of MO2 by respirometry but on measurement of gill oxygen uptake by sampling inspired and expired water ","Steffensen et al.","1982","-","10.1007/BF00001786","Steffensen, J., Lomholt, J., & Johansen, K. (1982). Gill ventilation and O2 extraction during graded hypoxia in two ecologically distinct species of flatfish, the flounder (Platichthys flesus) and the plaice (Pleuronectes platessa). Environmental Biology ",NA,NA,NA,0.65,"round","Platichthys_flesus",20,0,2.693726949,56.1262871,29.05882353,1.463278028,2.835963109,-0.042299024,-2.981428263,-4.807842237,"quantatative",2.67859096806465
"2","Pleuronectidae","Pleuronectes","platessa","European plaice","Bay of Aarhus, Denmark","56.1262871,10.3319726",56.1262871,"10.3319726","Yes","7",10,"20","mmHg","140",NA,"None","-","-","-","-","-",13,572,"0.074","-","-","-",100,11100,5.15,"-","-","-","-","-","-","Adult","-","-","unknown","-","N2 PO2 Regulator","1.23","60","35","mmHg",20,10,"-","-","Yes","Oxyconformer","RMR","0.375","-","-","mlO2 / kg / min",574.55,"-","-","-","-","-","mmHg","-",NA,"-","-","-","","-","-","-","None","","Pcrit was not based on measurement of MO2 by respirometry but on measurement of gill oxygen uptake by sampling inspired and expired water ","Steffensen et al.","1982","-","10.1007/BF00001786","Steffensen, J., Lomholt, J., & Johansen, K. (1982). Gill ventilation and O2 extraction during graded hypoxia in two ecologically distinct species of flatfish, the flounder (Platichthys flesus) and the plaice (Pleuronectes platessa). Environmental Biology ",NA,NA,NA,0.65,"round","Pleuronectes_platessa",20,0,2.757396029,56.1262871,5.153153153,0.71207305,2.759327829,-0.172236802,1.75e-14,-4.807842237,"quantatative",2.67855477855478
"3","Paralichthyidae","Paralichthys","dentatus","summer flounder","Wachapreague
Inlet, Virginia, USA","37.57957,-75.6035373",37.57957,"-75.6035373","Yes","14",22,"34","-","-",NA,"-","-","-","-","-","-",9,569,"-","-","0.924","0.214",94,7700,7.39,"-","-","-","450","297","-","Adult","-","36","Intermittent-Flow","-","N2 PO2 Regulator","0.66","-","20","% Air Sat.",34,22,"-","-","No","Oxyregulator","RMR","45.3","-",NA,"mgO2 / kg / hour",805.49,"27",NA,NA,"2",NA,"% Air Sat.",NA,5.58,"0.137688018","0.413064055","","","154.919.674","ANCOVA (fish mass as covariate)",NA,"Piecewise linear
regression, non-linear least-square estimation, SAS (Ryan et al., 2002)","",NA,"Capossela et al.","2012","K. M. Capossela","10.1111/j.1095-8649.2012.03380.x","Capossela, K. M., Brill, R. W., Fabrizio, M. C., & Bushnell, P. G. (2012). Metabolic and cardiorespiratory responses of summer flounder Paralichthys dentatus to hypoxia at two temperatures. Journal of fish biology, 81(3), 1043-1058",NA,"0.53","SCF",0.53,"round","Paralichthys_dentatus",34,0,2.755112266,37.57957,7.38961039,0.868621541,2.906060153,-0.421977024,-3.945420023,1.87908606,"quantatative",0.03125
"4","Paralichthyidae","Paralichthys","dentatus","summer flounder","Wachapreague
Inlet, Virginia, USA","37.57957,-75.6035373",37.57957,"-75.6035373","Yes","14",22,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,569,NA,NA,"0.924","0.214",94,7700,7.39,NA,NA,NA,"450","297",NA,"Adult",NA,"36","Intermittent-Flow",NA,"N2 PO2 Regulator","0.66",NA,"30","% Air Sat.",34,30,NA,NA,"No","Oxyregulator","RMR","92.8",NA,NA,"mgO2 / kg / hour",1650.1,"39",NA,NA,"2",NA,"% Air Sat.",NA,7.92,"0.135453923","0.406361768","","","152.405.981","ANCOVA (fish mass as covariate)",NA,"Piecewise linear
regression, non-linear least-square estimation, SAS (Ryan et al., 2002)","",NA,"Capossela et al.","2012","K. M. Capossela","10.1111/j.1095-8649.2012.03380.x","Capossela, K. M., Brill, R. W., Fabrizio, M. C., & Bushnell, P. G. (2012). Metabolic and cardiorespiratory responses of summer flounder Paralichthys dentatus to hypoxia at two temperatures. Journal of fish biology, 81(3), 1043-1058",NA,"0.53","SCF",0.53,"round","Paralichthys_dentatus",34,-8,2.755112266,37.57957,7.38961039,0.868621541,3.217510264,-0.302935206,4.054579977,9.87908606,"quantatative",0.03125
"5","Gadidae","Gadus","morhua","Atlantic cod","Øresund, Denmark","55.7464759,12.6964471",55.7464759,"12.6964471","Yes","several months",5,"30",NA,NA,NA,"trout pellets and frozen mussel",NA,NA,NA,NA,"natural light (56 N)",10,124,"0.099",NA,NA,NA,200,74300,0.17,NA,NA,NA,NA,NA,"Juvenile","Juvenile",NA,NA,"Intermittent-Flow",NA,"N2 PO2 Regulator",NA,"45","13","% Air Sat.",30,5,NA,NA,"No","Oxyregulator","SMR","35.5",NA,NA,"mgO2 / kg / hour",137.56,"16.5",NA,NA,"2.4",NA,"% Air Sat.",NA,3.47,"0.159561615","0.50457813","35.5","","1.577.016.896","One-way ANOVA","Mean of 6 lowest MO2 measurments","Intercept of SMR line and linear regression of points below SMR","",NA,"Schurmann & Steffensen","1997","H. Schurmann","10.1111/j.1095-8649.1997.tb01645.x","Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod. J Fish Biol, 50(6), 1166-1180.",NA,"0.93","FIA",0.93,"round","Gadus_morhua",30,0,2.093421685,55.7464759,0.166890983,-0.777567129,2.138492167,-0.164418584,-5,-9.916646622,"quantatative",0.03125
"6","Gadidae","Gadus","morhua","Atlantic cod","Øresund, Denmark","55.7464759,12.6964472",55.7464759,"12.6964472","Yes","several months",10,"30",NA,NA,NA,"trout pellets and frozen mussel",NA,NA,NA,NA,"natural light (56 N)",11,158,"0.04",NA,NA,NA,200,74300,0.21,NA,NA,NA,NA,NA,"Juvenile","Juvenile",NA,NA,"Intermittent-Flow",NA,"N2 PO2 Regulator",NA,"45","13","% Air Sat.",30,10,NA,NA,"No","Oxyregulator","SMR","57",NA,NA,"mgO2 / kg / hour",281.44,"23.2",NA,NA,"5.3",NA,"% Air Sat.",NA,4.86,"0.334776981","1.110.329.636","57","","1.571.430.679","One-way ANOVA","Mean of 6 lowest MO2 measurments","Intercept of SMR line and linear regression of points below SMR","",NA,"Schurmann & Steffensen","1997","H. Schurmann","10.1111/j.1095-8649.1997.tb01645.x","Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod. J Fish Biol, 50(6), 1166-1180.",NA,"0.93","FIA",0.93,"round","Gadus_morhua",30,0,2.198657087,55.7464759,0.212651413,-0.672331727,2.449385822,-0.078253148,5.65e-14,-4.916646622,"quantatative",0.03125
"7","Gadidae","Gadus","morhua","Atlantic cod","Øresund, Denmark","55.7464759,12.6964473",55.7464759,"12.6964473","Yes","several months",15,"30",NA,NA,NA,"trout pellets and frozen mussel",NA,NA,NA,NA,"natural light (56 N)",11,167,"0.044",NA,"-","-",200,74300,0.22,"-","-","-","-","-","Juvenile","Juvenile","-","-","Intermittent-Flow","-","N2 PO2 Regulator",NA,"45","13","% Air Sat.",30,15,"-","-","No","Oxyregulator","SMR","78.2","-","-","mgO2 / kg / hour",408.11,"30.3","-","-","5.9","-","% Air Sat.","-",6.32,"0.370898264","1.230.130.378","78.2","","1.563.933.553","One-way ANOVA","Mean of 6 lowest MO2 measurments","Intercept of SMR line and linear regression of points below SMR","","-","Schurmann & Steffensen","1997","H. Schurmann","10.1111/j.1095-8649.1997.tb01645.x","Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod. J Fish Biol, 50(6), 1166-1180.",NA,"0.93","FIA",0.93,"round","Gadus_morhua",30,0,2.222716471,55.7464759,0.224764468,-0.648272343,2.610777237,-0.06888699,5,0.083353378,"quantatative",0.03125
"8","Latidae","Lates","calcarifer","Australian barramundi","Broome Aquaculture Centre, Broome, Australia","-17.949492, 122.219051",-17.949492," 122.219051","No","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight ","1","daily","12:12",10,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.47","-","-","mgO2 / kg / min",534.71,"14.4","-","-","3.28","-","% Air Sat.","-",2.95,"0.212660653","0.672492033","","88.2","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,17.949492,0.188532556,-0.724613645,2.728118306,-0.089770742,-4.57149932,0.255664332,"quantatative",1.87499123360685
"9","Latidae","Lates","calcarifer","Australian barramundi","Broome Aquaculture Centre, Broome, Australia","-17.949492, 122.219051",-17.949492," 122.219051","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","2.83","-","-","mgO2 / kg / min",1029.41,"19.76","-","-","3.42","-","% Air Sat.","-",3.94,"0.197084877","0.68272204","","169.8","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,17.949492,0.188532556,-0.724613645,3.012588383,-0.037985874,5.42850068,10.25566433,"quantatative",1.87499544643182
"10","Latidae","Lates","calcarifer","Australian barramundi","Darwin Aquaculture Centre, Darwin, Australia","-12.555574, 130.864345",-12.555574," 130.864345","No","17",26,"Fresh","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.48","-","-","mgO2 / kg / min",538.35,"19.01","-","-","2.88","-","% Air Sat.","-",3.89,"0.186726427","0.59048081","","88.8","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,12.555574,0.188532556,-0.724613645,2.731064717,-0.086824331,-5.137965299,-1.289529512,"quantatative",1.875
